"DisPicture_ID","DisPicture_DiseaseId","DisPicture_SymptomTypeId","DisPicture_Img","DisPicture_Demo","px","zan","cai","describe","DisPicture_Come","DisPicture_updata","buwei"
3,3,3,"/uploadfiles/image/20130722/20130722164124_1423w.jpg","红斑狼疮-组织病理图",2,0,1,"<div style=""text-align:center;"">
	<span style=""background-color:#FFFFFF;color:#333333;font-family:arial, 宋体, sans-serif;line-height:25px;text-indent:30px;"">血清中可检测到多种自身抗体和免疫学异常<br />
<br />
<br />
	<div style=""text-align:right;"">
		<b style=""text-align:right;"">图片来源：</b><a href=""http://www.derm101.com/"" style=""text-align:right;""><b><i>http://www.Derm101.com</i></b></a> 
	</div>
</span><span style=""background-color:#FFFFFF;color:#333333;font-family:arial, 宋体, sans-serif;line-height:25px;text-indent:30px;""><br />
<br />
<br />
</span> 
</div>",,7,
4,3,3,"/uploadfiles/image/20130722/20130722164224_7708w.jpg","红斑狼疮-组织病理图",3,0,1,"<div style=""text-align:center;"">
	<span style=""font-family:SimSun;font-size:14px;"">系统性红斑狼疮组织病<br />
<br />
<br />
<br />
	<div style=""text-align:right;"">
		<a name=""OLE_LINK11""></a><a name=""OLE_LINK10""></a><a name=""OLE_LINK9""></a><b>图片来源：</b><a href=""http://www.derm101.com/""><b><i>http://www.Derm101.com</i></b></a>
	</div>
<br />
</span>
</div>",,19,
5,4,0,"/uploadfiles/image/20130722/20130722164403_7365w.jpg","花斑癣 - 躯干",1,0,1,,,5,"躯干"
6,4,0,"/uploadfiles/image/20130722/20130722165307_3106w.jpg","花斑癣（显微镜下）",2,0,1,,,8,
7,4,0,"/uploadfiles/image/20130722/20130722165353_9432w.jpg","花斑癣（显微镜下）",3,0,1,,,6,
8,4,0,"/uploadfiles/image/20130722/20130722165412_9303w.jpg","花斑癣 - 腿部",4,0,1,,,7,
9,1,0,"/uploadfiles/image/20130723/20130723090219_1276w.jpg","脱发- 头皮",1,0,1,,,4,
10,1,0,"/uploadfiles/image/20130723/20130723090331_4488w.jpg","脱发- 头皮",2,0,1,,,14,
11,1,0,"/uploadfiles/image/20130723/20130723090422_6107w.jpg","脱发- 头皮",3,0,1,,,11,
12,1,0,"/uploadfiles/image/20130723/20130723090517_6389w.jpg","脱发- 头皮",4,0,1,,,11,
13,1,0,"/uploadfiles/image/20130723/20130723090552_7809w.jpg","脱发- 头皮",5,0,1,,,14,
15,22,0,"/uploadfiles/image/20130723/20130723172910_9171w.jpg","过敏性紫癜 - 四肢",1,0,1,,,5,
16,5,0,"/uploadfiles/image/20130724/20130724094917_6967w.jpg","痛风 - 脚趾",1,0,1,,,4,
17,5,0,"/uploadfiles/image/20130724/20130724094944_4082w.jpg","痛风（显微镜下）",2,0,1,,,11,
18,5,0,"/uploadfiles/image/20130724/20130724095032_3019w.jpg","痛风（显微镜下）",3,0,1,,,13,
19,5,0,"/uploadfiles/image/20130724/20130724095110_0291w.jpg","痛风（显微镜下）",4,0,1,,,10,
20,6,0,"/uploadfiles/image/20130724/20130724100015_4923w.jpg","天花 - 面部、四肢",1,0,1,,,9,
21,6,0,"/uploadfiles/image/20130724/20130724100032_7343w.jpg","天花 - 面部",2,0,1,,,10,
22,6,0,"/uploadfiles/image/20130724/20130724100110_2494w.jpg","天花 - 全身",3,0,1,,,10,
23,7,0,"/uploadfiles/image/20130724/20130724100159_0602w.jpg","雀斑 - 面部",1,0,1,,,13,
24,7,0,"/uploadfiles/image/20130724/20130724135140_1794w.jpg","雀斑 - 面部",2,0,1,,,8,
25,8,0,"/uploadfiles/image/20130725/20130725162746_7790w.jpg","干燥综合症 - 面部",1,0,1,,,6,
26,8,0,"/uploadfiles/image/20130725/20130725162815_2926w.jpg","干燥综合症（显微镜下）",2,0,1,,,10,
27,8,0,"/uploadfiles/image/20130725/20130725162923_8775w.jpg","干燥综合症（显微镜下）",3,0,1,,,13,
28,8,0,"/uploadfiles/image/20130725/20130725162945_5358w.jpg","干燥综合症 - 手部",4,0,1,,,11,
30,9,0,"/uploadfiles/image/20130726/20130726085209_8152w.gif","皮肤白血病 - 腿部",1,0,1,,,6,
31,9,0,"/uploadfiles/image/20130726/20130726085242_4580w.jpg","皮肤白血病（显微镜下）",2,0,1,,,7,
32,9,0,"/uploadfiles/image/20130726/20130726085412_7712w.jpg","皮肤白血病 - 腿部",3,0,1,,,13,
33,9,0,"/uploadfiles/image/20130726/20130726085432_5953w.jpg","皮肤白血病 - 全身",4,0,1,,,11,
34,9,0,"/uploadfiles/image/20130726/20130726085453_8766w.jpg","皮肤白血病 - 躯干",5,0,1,,,13,
35,10,0,"/uploadfiles/image/20130729/20130729102437_6312w.jpg","维生素A缺乏症 - 皮肤",1,0,1,,,9,
36,10,0,"/uploadfiles/image/20130729/20130729102516_6001w.jpg","维生素C缺乏症 - 头部",2,0,1,,,12,
37,10,0,"/uploadfiles/image/20130730/20130730094640_3110w.jpg","维生素E缺乏症",3,0,1,,,12,
38,11,0,"/uploadfiles/image/20130730/20130730095056_4634w.jpg","痒疹 - 四肢",1,0,1,,,12,
43,11,0,"/uploadfiles/image/20130730/20130730095508_8563w.jpg","痒疹 - 四肢",5,0,1,,,14,
44,12,0,"/uploadfiles/image/20130731/20130731092409_1020w.jpg","药物疹 - 躯干",1,0,1,,,10,
45,12,0,"/uploadfiles/image/20130731/20130731091842_5622w.jpg","药物疹2",2,0,1,,,16,
46,12,0,"/uploadfiles/image/20130731/20130731091858_8954w.jpg","药物疹（显微镜下）",3,0,1,,,12,
47,12,0,"/uploadfiles/image/20130731/20130731091923_5903w.jpg","药物疹（显微镜下）",4,0,1,,,15,
48,12,0,"/uploadfiles/image/20130731/20130731092256_3746w.jpg","药物疹 - 手部",5,0,1,,,11,
49,13,0,"/uploadfiles/image/20130801/20130801085702_8645w.jpg","脂溢性皮炎 - 上肢皮肤",1,0,1,,,11,
50,13,0,"/uploadfiles/image/20130801/20130801085730_7417w.jpg","脂溢性皮炎（显微镜下）",2,0,1,,,13,
51,13,0,"/uploadfiles/image/20130801/20130801090941_3534w.jpg","脂溢性皮炎 - 面部",3,0,1,,,4,
52,13,0,"/uploadfiles/image/20130801/20130801085920_9247w.jpg","脂溢性皮炎 - 面部",4,0,1,,,5,
53,13,0,"/uploadfiles/image/20130801/20130801091045_1575w.jpg","脂溢性皮炎 - 躯干",5,0,1,,,4,
54,14,0,"/uploadfiles/image/20130802/20130802100725_2644w.jpg","斑秃 - 头部",1,0,1,,,8,
55,14,0,"/uploadfiles/image/20130802/20130802100737_7912w.jpg","斑秃 - 头部",2,0,1,,,7,
56,14,0,"/uploadfiles/image/20130802/20130802100854_2158w.jpg","斑秃 - 头部",3,0,1,,,14,
57,14,0,"/uploadfiles/image/20130802/20130802100915_4318w.jpg","斑秃 - 头部",4,0,1,,,20,
58,14,0,"/uploadfiles/image/20130802/20130802100956_2883w.jpg","斑秃 - 头部",5,0,1,,,13,
59,15,0,"/uploadfiles/image/20130805/20130805095758_2756w.jpg","包皮龟头炎 - 生殖器",1,0,1,,,3,
60,15,0,"/uploadfiles/image/20130805/20130805095817_4012w.jpg","包皮龟头炎 - 生殖器",2,0,1,,,2,
61,15,0,"/uploadfiles/image/20130805/20130805095838_4769w.jpg","包皮龟头炎 - 生殖器",3,0,1,,,11,
62,15,0,"/uploadfiles/image/20130805/20130805100125_0072w.jpg","包皮龟头炎 - 生殖器",4,0,1,,,11,
63,15,0,"/uploadfiles/image/20130805/20130805095924_5906w.jpg","包皮龟头炎 - 生殖器",5,0,1,,,8,
64,16,0,"/uploadfiles/image/20130806/20130806090344_9708w.jpg","孢子丝菌病 - 面部",1,0,1,,,8,
65,16,0,"/uploadfiles/image/20130806/20130806090410_4769w.jpg","孢子丝菌病（显微镜下）",2,0,1,,,14,
66,16,0,"/uploadfiles/image/20130806/20130806090432_7537w.jpg","孢子丝菌病 - 面部",3,0,1,,,15,
67,16,0,"/uploadfiles/image/20130806/20130806090648_1620w.jpg","孢子丝菌病4",4,0,1,,,19,
68,17,0,"/uploadfiles/image/20130807/20130807090734_7934w.jpg","鲍温样丘疹病 - 躯干",1,0,1,,,12,
69,17,0,"/uploadfiles/image/20130807/20130807091014_3037w.jpg","鲍温样丘疹病（显微镜下）",2,0,1,,,16,
70,17,0,"/uploadfiles/image/20130807/20130807091039_0921w.jpg","鲍温样丘疹病（显微镜下）",0,0,1,,,11,
71,18,0,"/uploadfiles/image/20130808/20130808085652_7928w.jpg","闭塞性血栓性脉管炎 - 脚部",1,0,1,,,3,
72,18,0,"/uploadfiles/image/20130808/20130808085738_5477w.png","闭塞性血栓性脉管炎 - 脚部",2,0,1,,,4,
73,18,0,"/uploadfiles/image/20130808/20130808085846_4078w.jpg","闭塞性血栓性脉管炎 - 脚部",3,0,1,,,14,
